fecha_nacimiento,sexo,localidad_nacimiento,lugar_nacimiento,fecha_fallecimiento,localidad_fallecimiento,lugar_fallecimiento
1960-01-07,1,Cerro Largo,1,1998-05-23,Las Piedras,9
1960-02-06,1,Río Negro,9,1999-09-18,Soriano,1
1960-11-15,2,Rocha,8,,,
1960-11-10,2,Durazno,3,1979-06-21,Soriano,1
1960-08-31,8,San José,3,,,
1960-01-13,2,Lavalleja,9,,,
1960-08-20,2,Las Piedras,3,,,
1960-03-05,1,Artigas,2,2024-04-14,Durazno,8
1960-05-05,2,San José,1,2002-01-23,Lavalleja,2
1960-11-12,2,Flores,3,1994-12-02,Artigas,3
1960-05-06,1,Treinta y Tres,1,,,
1960-02-08,9,Salto,2,,,
1960-07-29,2,Canelones,1,,,
1960-01-02,2,Canelones,2,,,
1960-08-10,9,Salto,8,,,
1960-03-22,2,Soriano,2,2011-06-14,Salto,9
1960-10-14,1,Rivera,9,2014-12-31,Las Piedras,9
1960-11-17,1,Colonia,3,,,
1960-11-06,9,Rocha,2,,,
1960-07-12,1,Las Piedras,1,1997-10-21,Durazno,2
1960-11-16,2,Flores,2,,,
1960-05-07,1,Flores,8,,,
1960-05-28,9,San José,2,,,
1960-08-30,9,Montevideo,1,,,
1960-06-20,1,Durazno,2,2019-01-20,San José,9
1960-05-19,9,Lavalleja,3,,,
1960-09-05,2,Rocha,8,2016-07-16,Las Piedras,3
1960-05-01,1,Florida,2,,,
1960-11-17,2,Soriano,1,2025-05-19,Rocha,3
1960-07-02,1,Rocha,8,,,
1960-06-21,1,Colonia,2,1969-03-16,Cerro Largo,9
1960-07-30,1,Salto,9,2012-08-07,Cerro Largo,2
1960-07-25,1,Durazno,8,,,
1960-08-04,2,Flores,9,,,
1960-05-21,9,Flores,9,,,
1960-08-27,2,Colonia,2,,,
1960-06-22,1,Las Piedras,9,,,
1960-12-30,2,Soriano,9,1986-04-07,Salto,8
1960-10-20,2,Rocha,8,,,
1960-10-19,2,Tacuarembó,2,1984-01-12,Soriano,3
1960-05-01,1,Salto,1,,,
1960-08-25,2,Florida,1,2013-06-06,Rivera,1
1960-07-27,1,Treinta y Tres,9,,,
1960-04-02,9,Cerro Largo,3,1967-03-01,Florida,8
1960-02-12,2,Rocha,3,,,
1960-03-15,1,Tacuarembó,1,1993-04-01,Canelones,8
1960-05-01,2,Artigas,8,2010-07-03,Tacuarembó,9
1960-11-10,1,Treinta y Tres,2,,,
1960-09-23,8,Tacuarembó,2,,,
1960-09-12,2,Colonia,3,2020-08-19,San José,9
1960-02-14,2,Salto,8,,,
1960-01-31,8,Canelones,2,,,
1960-12-06,9,Tacuarembó,3,,,
1960-01-19,2,Paysandú,1,,,
1960-01-22,1,Treinta y Tres,3,2007-09-05,Lavalleja,1
1960-12-01,2,Lavalleja,3,,,
1960-07-03,2,Paysandú,3,,,
1960-03-29,9,Florida,8,1985-05-17,Paysandú,2
1960-02-04,9,Florida,8,,,
1960-12-23,8,Maldonado,9,1976-04-20,Tacuarembó,8
1960-05-25,2,Montevideo,8,,,
1960-08-01,2,Durazno,9,,,
1960-05-12,1,Durazno,1,,,
1960-02-22,2,Maldonado,8,,,
1960-12-07,8,Río Negro,1,,,
1960-06-17,2,Paysandú,9,,,
1960-08-13,2,Salto,9,,,
1960-06-07,9,Salto,8,1961-04-28,Durazno,2
1960-05-27,2,Florida,3,,,
1960-04-09,1,Maldonado,9,,,
1960-06-12,1,Río Negro,3,1984-09-01,Río Negro,3
1960-01-31,1,Las Piedras,9,,,
1960-07-10,2,Maldonado,2,1986-06-26,Las Piedras,1
1960-11-14,1,Rocha,1,1971-01-18,Salto,8
1960-11-07,9,Treinta y Tres,3,,,
1960-02-26,1,Río Negro,1,,,
1960-02-10,8,Paysandú,8,,,
1960-10-02,1,Rocha,2,,,
1960-11-25,2,Rivera,3,,,
1960-05-09,2,Paysandú,3,,,
1960-01-30,8,Rivera,8,,,
1960-10-29,1,Soriano,2,,,
1960-06-06,8,Rocha,8,,,
1960-06-16,1,Artigas,3,,,
1960-07-21,8,Flores,9,1988-05-05,Soriano,3
1960-11-18,8,Salto,2,2022-06-22,Cerro Largo,1
1960-05-11,1,Las Piedras,3,,,
1960-03-15,1,Artigas,3,1969-11-12,Durazno,9
1960-03-14,2,Rivera,3,,,
1960-03-15,9,Rocha,3,,,
1960-10-31,8,Colonia,3,,,
1960-10-18,1,Paysandú,3,,,
1960-06-10,1,Las Piedras,9,2001-07-09,Lavalleja,1
1960-05-08,2,Durazno,8,1978-12-25,Treinta y Tres,1
1960-10-27,2,Río Negro,1,,,
1960-11-14,2,Lavalleja,9,,,
1960-10-31,1,Treinta y Tres,9,1974-06-23,Rocha,8
1960-12-02,1,Treinta y Tres,1,2009-04-06,Paysandú,9
1960-03-20,8,Montevideo,8,1992-09-17,Lavalleja,3
1960-10-20,2,Cerro Largo,9,,,
1960-04-15,1,Salto,2,,,
1960-04-19,1,Lavalleja,2,,,
1960-03-16,2,Salto,8,,,
1960-03-08,8,Flores,3,2004-10-02,Montevideo,3
1960-06-09,9,Paysandú,2,,,
1960-03-03,1,Lavalleja,8,1976-05-28,Salto,3
1960-12-31,9,Salto,2,1974-03-16,Cerro Largo,9
1960-01-06,9,Treinta y Tres,2,1983-05-07,Rocha,3
1960-12-15,2,Cerro Largo,2,1978-05-23,Rocha,3
1960-11-20,1,Rocha,9,,,
1960-11-06,8,Canelones,2,,,
1960-06-26,1,Salto,1,,,
1960-05-24,9,Rocha,1,,,
1960-08-18,9,Cerro Largo,9,2000-10-23,Cerro Largo,8
1960-01-25,2,Maldonado,2,,,
1960-01-17,1,Cerro Largo,2,1966-12-17,Rocha,9
1960-11-16,8,Flores,9,,,
1960-08-21,8,San José,1,2015-01-28,Maldonado,2
1960-11-07,1,Montevideo,3,,,
1960-01-25,2,San José,3,2002-12-27,Flores,1
1960-04-18,2,Treinta y Tres,8,1972-03-15,Cerro Largo,9
1960-03-01,2,Salto,2,2007-11-07,Salto,3
1960-11-04,1,Soriano,2,,,
1960-05-25,1,Rivera,8,,,
1960-07-20,2,Treinta y Tres,9,1961-04-10,Durazno,1
1960-07-04,1,Colonia,2,,,
1960-04-10,8,San José,9,,,
1960-07-30,1,Durazno,9,,,
1960-10-23,1,Lavalleja,8,,,
1960-12-02,1,Paysandú,3,,,
1960-09-15,1,Soriano,9,,,
1960-07-29,9,Flores,9,,,
1960-09-11,2,Montevideo,2,,,
1960-01-20,8,Salto,1,,,
1960-11-29,2,Florida,3,1964-05-26,San José,2
1960-09-19,2,Paysandú,9,,,
1960-12-22,2,Canelones,9,2019-02-05,Maldonado,8
1960-08-26,9,Maldonado,9,,,
1960-12-02,1,Paysandú,3,,,
1960-04-14,1,Cerro Largo,8,,,
1960-01-31,9,Rivera,9,,,
1960-07-04,9,Montevideo,1,2016-03-27,Las Piedras,3
1960-03-24,8,Rivera,8,1983-09-24,Maldonado,8
1960-01-28,8,Canelones,8,,,
1960-08-10,8,Las Piedras,9,2007-03-04,Flores,2
1960-12-13,8,Rocha,1,1966-01-25,Lavalleja,2
1960-11-01,2,Maldonado,8,2022-08-06,Artigas,9
1960-09-09,1,Cerro Largo,1,,,
1960-01-23,8,Rivera,2,,,
1960-03-01,1,Artigas,8,,,
1960-07-23,2,Rivera,3,,,
1960-07-24,1,Florida,8,,,
1960-03-16,8,Salto,2,1975-01-25,Paysandú,9
1960-04-03,8,Florida,8,,,
1960-11-07,1,Artigas,2,,,
1960-12-01,1,Río Negro,9,,,
1960-08-02,8,Las Piedras,3,,,
1960-02-24,1,Montevideo,2,,,
1960-02-08,1,Soriano,3,,,
1960-10-13,1,Las Piedras,9,,,
1960-05-12,8,Tacuarembó,2,,,
1960-12-11,9,Durazno,9,,,
1960-02-24,9,Treinta y Tres,2,1965-04-20,Cerro Largo,8
1960-03-02,9,Canelones,1,,,
1960-04-30,2,Artigas,2,,,
1960-05-10,1,Salto,2,2008-02-19,Rivera,9
1960-06-25,1,Tacuarembó,1,,,
1960-01-01,8,Canelones,1,,,
1960-04-24,2,Colonia,3,,,
1960-07-26,8,Paysandú,3,1975-12-28,Artigas,3
1960-05-16,1,Artigas,9,,,
1960-03-01,2,Paysandú,1,,,
1960-05-27,8,Montevideo,1,1994-03-21,Rivera,8
1960-03-05,1,Río Negro,8,,,
1960-08-20,9,Maldonado,2,,,
1960-11-22,9,Lavalleja,8,,,
1960-04-29,1,Salto,1,,,
1960-02-26,8,Treinta y Tres,3,1983-10-02,Colonia,1
1960-09-10,9,Colonia,9,,,
1960-02-04,1,Rocha,8,,,
1960-03-30,1,Soriano,1,1967-06-16,Artigas,2
1960-03-22,2,Las Piedras,9,,,
1960-02-23,8,Lavalleja,1,2020-03-10,Colonia,3
1960-04-28,1,Tacuarembó,8,,,
1960-03-31,2,Artigas,2,,,
1960-11-17,1,Salto,2,,,
1960-10-20,9,Cerro Largo,8,1999-01-20,Salto,8
1960-08-10,2,San José,9,,,
1960-07-05,2,Cerro Largo,8,2010-06-16,Paysandú,2
1960-03-20,1,Soriano,3,,,
1960-03-12,8,Treinta y Tres,3,2022-11-22,Paysandú,2
1960-09-12,1,Artigas,2,2015-06-18,San José,9
1960-08-28,1,Paysandú,2,,,
1960-12-30,8,Treinta y Tres,2,,,
1960-06-07,1,Soriano,9,,,
1960-04-02,1,Treinta y Tres,9,,,
1960-02-17,1,Salto,1,,,
1960-03-23,8,Paysandú,9,,,
1960-08-25,1,Paysandú,1,,,
1960-01-08,8,Salto,9,,,
1960-04-30,2,Río Negro,3,,,
1960-07-12,8,Cerro Largo,9,1963-07-08,Rocha,9
1960-12-04,1,Artigas,8,1972-08-27,Maldonado,9
1960-02-14,8,San José,8,,,
1960-07-28,1,Salto,1,,,
1960-11-08,2,Las Piedras,9,,,
1960-08-10,2,Lavalleja,1,,,
1960-10-28,8,Rivera,9,,,
1960-08-13,1,Artigas,1,1999-04-23,Cerro Largo,1
1960-12-31,1,Flores,9,,,
1960-06-14,8,Canelones,8,,,
1960-12-12,2,Tacuarembó,3,,,
1960-11-27,9,Rocha,9,1974-03-26,Lavalleja,3
1960-08-02,1,Rocha,8,,,
1960-05-16,2,Tacuarembó,8,2007-09-15,Cerro Largo,9
1960-07-03,2,Paysandú,3,2021-10-16,Salto,3
1960-06-22,9,Tacuarembó,3,,,
1960-04-20,1,Lavalleja,1,,,
1960-07-15,1,Treinta y Tres,2,,,
1960-11-16,1,Treinta y Tres,3,2008-09-10,Río Negro,2
1960-01-18,2,San José,1,,,
1960-05-28,2,Salto,9,,,
1960-01-16,2,Soriano,9,,,
1960-10-20,8,Rivera,8,,,
1960-10-03,8,Flores,2,,,
1960-02-04,1,Flores,1,1987-07-25,Canelones,8
1960-11-13,2,Rocha,1,2025-08-05,Maldonado,8
1960-02-07,2,Río Negro,3,1963-02-17,Rocha,8
1960-03-01,1,Cerro Largo,2,1987-05-18,Treinta y Tres,1
1960-04-09,2,Lavalleja,2,,,
1960-11-07,9,Artigas,1,,,
1960-12-23,1,Salto,3,,,
1960-02-09,8,Maldonado,3,,,
1960-08-11,8,Durazno,8,1972-01-16,Rocha,9
1960-05-03,2,San José,3,2023-03-18,Canelones,2
1960-12-16,1,Salto,3,,,
1960-05-12,9,Cerro Largo,8,,,
1960-11-24,1,Florida,8,2021-08-26,Flores,9
1960-12-03,8,Lavalleja,1,,,
1960-05-21,1,Cerro Largo,8,,,
1960-05-18,2,Rocha,1,,,
1960-05-24,2,Durazno,2,,,
1960-05-27,1,San José,2,2007-05-13,San José,8
1960-07-21,9,San José,1,1974-10-02,Treinta y Tres,8
1960-02-26,2,Flores,2,,,
1960-07-13,9,Florida,8,,,
1960-11-25,9,Canelones,1,1977-05-14,Maldonado,9
1960-02-08,1,Durazno,8,1974-04-16,Salto,9
1960-07-29,1,Soriano,8,,,
1960-08-27,8,Florida,1,1974-09-05,Tacuarembó,9
1960-09-23,1,Durazno,8,,,
1960-12-20,2,Colonia,3,,,
1960-11-11,1,Treinta y Tres,8,,,
1960-10-04,8,Florida,1,,,
1960-01-14,2,Lavalleja,1,1972-12-10,Cerro Largo,8
1960-10-27,1,Rivera,1,,,
1960-07-09,1,Cerro Largo,2,1966-07-05,Cerro Largo,9
1960-12-05,2,Treinta y Tres,3,,,
1960-12-18,2,Florida,1,2019-01-03,Canelones,1
1960-10-24,2,San José,1,1986-10-29,Río Negro,9
1960-03-31,2,Rivera,8,1967-11-20,Tacuarembó,8
1960-01-28,2,Tacuarembó,3,,,
1960-03-12,2,Florida,3,1990-05-31,Tacuarembó,8
1960-11-25,2,Las Piedras,1,,,
1960-03-16,1,Maldonado,9,1985-01-04,Tacuarembó,1
1960-08-18,1,Lavalleja,1,,,
1960-01-17,1,Florida,2,,,
1960-05-17,8,Río Negro,9,,,
1960-10-19,9,Florida,1,,,
1960-04-26,2,Río Negro,2,,,
1960-02-17,9,Salto,3,,,
1960-05-22,1,Cerro Largo,2,,,
1960-02-26,1,Canelones,3,,,
1960-08-30,8,Maldonado,1,,,
1960-03-20,2,Montevideo,3,2025-06-07,Durazno,9
1960-08-06,1,Maldonado,3,1980-04-04,Cerro Largo,9
1960-02-01,8,Lavalleja,9,,,
1960-09-26,2,Tacuarembó,1,2024-01-22,Durazno,2
1960-07-28,2,Lavalleja,9,,,
1960-01-21,9,Durazno,3,,,
1960-07-25,9,Las Piedras,3,,,
1960-03-08,1,Río Negro,9,,,
1960-09-25,1,Durazno,2,,,
1960-03-17,2,Rivera,8,,,
1960-11-12,1,Montevideo,9,,,
1960-07-27,1,Rivera,8,,,
1960-10-21,1,Soriano,2,,,
1960-02-10,9,Canelones,2,,,
1960-05-06,1,Lavalleja,8,1963-12-20,Cerro Largo,8
1960-07-18,1,Colonia,2,1997-01-10,Lavalleja,3
1960-12-02,8,Rivera,3,2024-01-24,Canelones,2
1960-01-25,8,Artigas,2,2018-09-10,Florida,8
1960-09-29,2,Florida,2,1992-04-21,Tacuarembó,1
1960-01-04,1,Rivera,2,,,
1960-03-01,1,San José,3,,,
1960-03-02,2,Colonia,8,,,
1960-06-19,1,Maldonado,2,1965-06-16,Durazno,1
1960-03-17,9,Río Negro,1,1991-04-16,Paysandú,8
1960-03-04,1,Rocha,3,1961-02-11,Florida,2
1960-09-27,9,Salto,9,,,
1960-10-06,9,Flores,2,2023-10-07,Las Piedras,2
1960-08-18,1,Artigas,1,2004-02-16,San José,3
1960-09-13,8,Maldonado,1,,,
1960-06-09,8,Tacuarembó,1,2004-01-06,Soriano,2
1960-11-12,2,Paysandú,2,,,
1960-02-18,1,Salto,9,1983-08-23,San José,3
1960-05-23,1,Lavalleja,2,,,
1960-02-04,8,Las Piedras,1,1971-07-07,Soriano,1
1960-02-13,2,Artigas,1,,,
1960-10-30,9,Treinta y Tres,8,,,
1960-07-23,2,Treinta y Tres,1,,,
1960-11-05,8,Colonia,1,,,
1960-12-07,1,Durazno,2,,,
1960-09-12,2,Tacuarembó,2,,,
1960-04-01,2,San José,1,,,
1960-12-26,2,Las Piedras,9,,,
1960-01-18,1,Río Negro,3,1996-01-15,Canelones,1
1960-03-25,1,Cerro Largo,3,2008-02-21,Durazno,8
1960-06-30,2,Rivera,9,,,
1960-09-30,1,Treinta y Tres,3,1976-03-09,Rocha,9
1960-07-06,1,Soriano,8,,,
1960-01-13,1,Maldonado,3,,,
1960-07-13,9,Río Negro,2,,,
1960-06-07,1,Rocha,8,1973-01-20,Rivera,1
1960-10-11,1,Durazno,8,,,
1960-01-30,2,Paysandú,8,,,
1961-05-01,8,Durazno,3,1978-01-05,Florida,3
1961-03-18,8,Tacuarembó,2,,,
1961-01-31,1,Treinta y Tres,8,,,
1961-12-02,2,Florida,3,,,
1961-03-11,1,Florida,9,2017-12-27,Montevideo,1
1961-03-29,2,Artigas,2,,,
1961-08-30,2,Lavalleja,8,,,
1961-09-30,1,Flores,9,,,
1961-04-15,2,Maldonado,2,2016-05-25,Treinta y Tres,8
1961-01-01,9,Tacuarembó,1,2008-05-11,Lavalleja,1
1961-04-22,1,Salto,3,,,
1961-04-19,1,Paysandú,2,,,
1961-08-15,8,Florida,9,,,
1961-07-28,1,Canelones,3,,,
1961-04-07,2,Río Negro,3,1985-05-05,Colonia,2
1961-03-26,1,Lavalleja,9,,,
1961-10-20,1,Paysandú,9,1970-08-28,Rocha,3
1961-03-08,2,Las Piedras,8,2009-12-05,Tacuarembó,3
1961-10-05,9,Paysandú,3,1993-11-07,Maldonado,3
1961-10-19,9,Lavalleja,2,,,
1961-06-20,1,Las Piedras,2,,,
1961-09-19,8,Paysandú,3,,,
1961-07-01,2,Salto,1,,,
1961-01-24,1,Montevideo,3,,,
1961-05-13,2,Montevideo,3,,,
1961-03-03,9,Canelones,8,1968-02-10,Flores,8
1961-08-02,2,Maldonado,8,,,
1961-09-20,1,Tacuarembó,8,,,
1961-12-19,1,Maldonado,8,2019-08-10,Las Piedras,9
1961-07-25,9,San José,8,1983-11-21,Tacuarembó,9
1961-08-05,1,Las Piedras,2,,,
1961-08-26,1,Artigas,9,1990-11-07,Montevideo,1
1961-03-05,2,Lavalleja,9,,,
1961-06-13,9,Durazno,1,2004-03-18,Cerro Largo,9
1961-09-17,1,Montevideo,8,,,
1961-01-14,1,Soriano,9,,,
1961-03-30,2,Rivera,1,,,
1961-01-10,1,Colonia,3,,,
1961-08-30,1,Paysandú,2,,,
1961-07-26,1,Rivera,8,,,
1961-09-25,2,Paysandú,8,,,
1961-12-06,1,Soriano,8,,,
1961-03-11,8,Treinta y Tres,3,,,
1961-01-23,1,Canelones,9,,,
1961-11-07,1,Durazno,3,,,
1961-09-14,8,Rivera,3,1966-10-12,Maldonado,2
1961-11-27,2,Las Piedras,3,,,
1961-02-21,8,Paysandú,1,,,
1961-02-08,1,Salto,9,,,
1961-01-19,8,Lavalleja,2,1971-02-20,San José,3
1961-06-02,8,Rivera,1,,,
1961-08-19,9,Salto,1,,,
1961-04-28,1,Soriano,2,2013-08-17,Durazno,9
1961-10-19,8,Maldonado,2,,,
1961-12-11,2,Río Negro,8,,,
1961-03-06,2,Lavalleja,1,2015-08-24,Montevideo,9
1961-08-26,1,Rocha,8,2017-02-06,Durazno,9
1961-06-12,2,Tacuarembó,1,1984-01-16,San José,1
1961-06-01,1,Canelones,2,1979-09-17,Flores,1
1961-11-14,9,San José,1,,,
1961-03-13,8,Cerro Largo,3,,,
1961-12-23,2,Cerro Largo,1,2022-05-09,Canelones,2
1961-08-11,1,Río Negro,1,,,
1961-03-19,2,Maldonado,3,,,
1961-12-02,9,Cerro Largo,2,,,
1961-02-18,1,Montevideo,8,,,
1961-11-09,1,Salto,8,,,
1961-06-13,1,Durazno,8,1970-10-22,Maldonado,3
1961-11-21,2,Salto,9,1974-10-22,Las Piedras,2
1961-04-21,1,Rivera,3,,,
1961-10-17,1,Las Piedras,2,2010-10-27,Colonia,1
1961-02-04,2,Artigas,1,1973-01-11,Canelones,1
1961-08-06,1,Artigas,8,1966-07-09,Montevideo,8
1961-07-20,8,San José,3,,,
1961-07-17,1,Montevideo,3,2010-05-14,Cerro Largo,2
1961-09-16,9,Treinta y Tres,9,,,
1961-04-28,2,Colonia,8,,,
1961-11-13,9,Flores,2,,,
1961-04-28,9,Treinta y Tres,9,,,
1961-07-08,1,Artigas,8,2007-01-14,Durazno,3
1961-08-20,1,Salto,1,1990-09-18,Río Negro,1
1961-01-25,2,Treinta y Tres,1,,,
1961-01-04,2,Montevideo,2,,,
1961-01-27,2,Florida,8,,,
1961-09-29,1,Maldonado,3,1982-12-16,Soriano,9
1961-10-12,1,Rivera,9,,,
1961-10-30,1,Tacuarembó,9,,,
1961-06-14,2,Tacuarembó,9,,,
1961-12-25,1,Flores,2,2022-08-10,Artigas,8
1961-10-10,2,Montevideo,9,,,
1961-12-01,9,Las Piedras,9,2002-07-28,Río Negro,1
1961-02-14,8,Artigas,1,1980-04-11,Durazno,3
1961-07-02,9,Cerro Largo,8,,,
1961-07-14,2,Durazno,1,,,
1961-08-16,1,Florida,1,1973-09-30,Tacuarembó,9
1961-06-11,2,Rivera,2,2007-06-28,Maldonado,2
1961-05-30,2,Salto,3,1999-02-04,Rivera,3
1961-08-13,2,Montevideo,2,,,
1961-01-16,2,Maldonado,3,,,
1961-06-29,2,Cerro Largo,8,2000-12-30,Durazno,9
1961-03-29,8,Artigas,8,,,
1961-05-16,2,Florida,8,,,
1961-01-19,2,Lavalleja,8,2018-11-21,Cerro Largo,2
1961-01-10,9,Canelones,8,,,
1961-02-14,2,Durazno,1,,,
1961-11-12,9,Lavalleja,2,,,
1961-12-03,2,San José,9,2020-01-01,Canelones,1
1961-01-11,9,Artigas,9,1990-01-25,Cerro Largo,9
1961-07-24,1,Paysandú,3,,,
1961-05-08,2,Soriano,9,,,
1961-09-03,9,San José,2,,,
1961-06-30,2,Artigas,1,2013-08-19,Lavalleja,1
1961-04-28,1,Florida,9,,,
1961-09-10,1,Durazno,1,,,
1961-09-22,8,Rivera,9,,,
1961-04-15,1,Rivera,9,2004-05-30,San José,8
1961-11-23,8,Tacuarembó,2,,,
1961-08-16,2,Rivera,8,,,
1961-03-02,9,Montevideo,2,,,
1961-04-06,1,Treinta y Tres,9,2010-10-11,Soriano,2
1961-01-24,8,Soriano,1,,,
1961-09-22,2,Tacuarembó,2,,,
1961-04-19,2,Colonia,2,1995-04-08,Flores,8
1961-01-13,1,Artigas,1,,,
1961-11-03,2,San José,9,,,
1961-09-29,2,Cerro Largo,1,1994-01-07,Colonia,8
1961-12-12,9,Tacuarembó,2,,,
1961-06-27,2,Rivera,8,,,
1961-12-23,1,Paysandú,9,,,
1961-09-25,1,Cerro Largo,9,,,
1961-06-02,1,Las Piedras,9,1969-08-24,Maldonado,9
1961-10-28,2,Montevideo,9,2012-09-26,Durazno,8
1961-04-01,8,Cerro Largo,2,1979-09-13,Tacuarembó,9
1961-12-22,1,Cerro Largo,3,,,
1961-06-03,1,Soriano,9,,,
1961-10-08,2,Cerro Largo,1,,,
1961-11-28,9,Soriano,9,,,
1961-08-26,9,Río Negro,3,,,
1961-01-17,1,Soriano,9,,,
1961-04-26,8,Paysandú,3,2023-01-27,Colonia,2
1961-08-04,9,Las Piedras,8,,,
1961-10-01,2,Treinta y Tres,9,,,
1961-06-07,1,Río Negro,9,,,
1961-09-23,1,Cerro Largo,3,,,
1961-08-06,2,Durazno,1,2024-12-23,Salto,2
1961-11-07,1,Cerro Largo,2,,,
1961-10-03,1,Artigas,3,,,
1961-12-28,8,Soriano,1,,,
